2019-04-11 17:18:20,665 [Worker-64: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:18:20,668 [Worker-64: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:18:20,669 [Worker-64: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:18:20,672 [Worker-64: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:19:19,716 [Worker-73: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:19:19,720 [Worker-73: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:19:19,722 [Worker-73: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:19:19,725 [Worker-73: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:19:50,270 [Worker-64: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:19:50,275 [Worker-64: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:19:50,276 [Worker-64: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:19:50,278 [Worker-64: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:20:11,646 [Worker-76: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:20:11,649 [Worker-76: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:20:11,651 [Worker-76: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:20:11,654 [Worker-76: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:20:36,746 [Worker-73: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:20:36,749 [Worker-73: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:20:36,751 [Worker-73: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:20:36,753 [Worker-73: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:20:44,509 [Worker-74: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:20:44,512 [Worker-74: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:20:44,514 [Worker-74: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:20:44,517 [Worker-74: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:20:55,343 [Worker-68: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:20:55,346 [Worker-68: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:20:55,348 [Worker-68: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:20:55,350 [Worker-68: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:21:05,183 [Worker-76: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:21:05,186 [Worker-76: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:21:05,188 [Worker-76: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:21:05,191 [Worker-76: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:22:05,847 [Worker-75: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:22:05,849 [Worker-75: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:22:05,850 [Worker-75: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:22:05,852 [Worker-75: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:22:45,925 [Worker-76: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:22:45,930 [Worker-76: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:22:45,931 [Worker-76: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:22:45,935 [Worker-76: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:22:56,523 [Worker-74: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:22:56,526 [Worker-74: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:22:56,528 [Worker-74: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-11 17:22:56,530 [Worker-74: Launching main (1)] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-11 17:23:57,146 [Worker-64: Launching main (1)] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
